action_id,inspection_id,incident_id,action_description,action_description_hindi,assigned_to,assigned_date,due_date,completion_date,status,priority,verification_required,verified_by,verification_date,delay_reason
CA-00750,INS-OD-001-2976,INC-JH-002-278,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-10-29,2023-11-11,2023-11-07,In Progress,High,True,Sita Devi,2023-11-08,
CA-00751,INS-JH-002-4729,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-12-27,2024-02-10,2024-02-08,Open,Low,False,,,
CA-00752,INS-JH-001-4366,INC-JH-001-042,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-08-07,2023-08-20,2023-08-29,Overdue,Medium,True,Rajesh Kumar,2023-08-30,Waiting for approval
CA-00753,INS-JH-002-1696,INC-JH-001-016,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-06,2024-01-20,2024-01-22,In Progress,Low,False,,,
CA-00754,INS-JH-002-1158,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-01-29,2023-03-05,,Rejected,Critical,False,,,
CA-00755,INS-JH-001-2919,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-05-21,2023-07-17,,Rejected,Low,False,,,
CA-00756,INS-JH-002-3352,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-04-17,2023-06-02,,Overdue,Medium,False,,,Equipment unavailability
CA-00757,INS-JH-001-1728,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-06-28,2023-07-22,2023-07-26,Overdue,High,True,Rajesh Kumar,2023-07-27,Equipment unavailability
CA-00758,INS-JH-002-2463,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-08-28,2023-09-17,,Overdue,Low,False,,,Waiting for approval
CA-00759,INS-OD-001-0467,INC-JH-002-085,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-03-07,2023-04-06,,In Progress,Low,False,,,
CA-00760,INS-OD-001-3317,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-06-24,2023-08-20,,Open,Low,False,,,
CA-00761,INS-JH-001-0103,INC-JH-002-024,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-09-23,2023-11-01,,In Progress,Critical,False,,,
CA-00762,INS-JH-002-4200,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-09-11,2023-10-20,2023-10-30,Rejected,Critical,False,,,
CA-00763,INS-JH-001-2878,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-22,2024-01-23,2024-01-18,Escalated,Medium,True,Rajesh Kumar,2024-01-19,
CA-00764,INS-JH-002-4634,INC-JH-002-073,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-07-29,2023-09-02,2023-09-05,Escalated,Critical,True,Rajesh Kumar,2023-09-06,
CA-00765,INS-JH-001-1527,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-09-27,2023-10-13,2023-10-14,Escalated,High,True,Sita Devi,2023-10-15,
CA-00766,INS-JH-001-4442,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-03-19,2023-04-19,,Completed,Medium,False,,,
CA-00767,INS-JH-002-0600,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-08-14,2023-09-30,,Rejected,High,False,,,
CA-00768,INS-OD-001-1864,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-10-25,2023-12-23,2023-12-19,Rejected,Medium,False,,,
CA-00769,INS-JH-002-4903,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-27,2023-11-21,2023-12-01,Completed,High,True,Sita Devi,2023-12-02,
CA-00770,INS-OD-001-1886,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-04,2023-05-29,2023-06-04,Completed,Medium,True,Rajesh Kumar,2023-06-05,
CA-00771,INS-JH-001-1577,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-09-01,2023-10-04,,In Progress,Critical,False,,,
CA-00772,INS-JH-002-0460,INC-JH-001-069,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-06-23,2023-08-01,2023-08-08,In Progress,Low,False,,,
CA-00773,INS-OD-001-1029,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-08-08,2023-09-13,2023-09-15,Escalated,Critical,False,,,
CA-00774,INS-OD-001-4350,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-03-12,2023-05-05,2023-05-03,Overdue,High,False,,,Equipment unavailability
CA-00775,INS-OD-001-4837,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-10-01,2023-11-28,2023-11-23,Escalated,Critical,True,Sita Devi,2023-11-24,
CA-00776,INS-JH-001-1905,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-03-25,2023-05-07,2023-05-08,Open,Critical,False,,,
CA-00777,INS-OD-001-3188,INC-OD-001-194,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-02-09,2023-02-19,2023-02-28,Rejected,Low,False,,,
CA-00778,INS-JH-002-4927,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-08-06,2023-09-02,2023-09-07,Rejected,Medium,False,,,
CA-00779,INS-OD-001-0534,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-01-18,2023-02-12,2023-02-16,Escalated,Low,True,Sita Devi,2023-02-17,
CA-00780,INS-JH-002-1048,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-12,2024-01-03,,Overdue,Medium,False,,,Equipment unavailability
CA-00781,INS-JH-001-3706,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-09,2023-09-19,2023-09-22,Open,High,True,Rajesh Kumar,2023-09-23,
CA-00782,INS-JH-001-4002,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-03,2023-11-12,2023-11-13,Completed,Medium,True,Sita Devi,2023-11-14,
CA-00783,INS-JH-002-0280,INC-JH-001-298,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-03-21,2023-04-23,,Escalated,Low,False,,,
CA-00784,INS-JH-001-0443,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-09-12,2023-09-23,2023-10-01,Completed,Medium,True,Sita Devi,2023-10-02,
CA-00785,INS-OD-001-3300,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-08,2023-10-24,2023-10-22,Escalated,Medium,False,,,
CA-00786,INS-JH-001-3455,INC-JH-001-027,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-12,2024-01-11,2024-01-08,Open,High,True,Rajesh Kumar,2024-01-09,
CA-00787,INS-OD-001-0773,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-01-08,2023-03-07,,In Progress,Critical,False,,,
CA-00788,INS-JH-001-3824,INC-OD-001-052,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-09-20,2023-11-03,,In Progress,Medium,False,,,
CA-00789,INS-JH-002-2102,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-04-16,2023-06-04,2023-06-14,Escalated,Critical,True,Sita Devi,2023-06-15,
CA-00790,INS-JH-001-0916,INC-JH-001-244,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-11-30,2024-01-03,2023-12-29,Overdue,Critical,False,,,Waiting for approval
CA-00791,INS-JH-002-0989,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-12-14,2023-12-29,,In Progress,Low,False,,,
CA-00792,INS-JH-002-0986,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-01-24,2023-03-19,2023-03-23,Completed,High,True,Rajesh Kumar,2023-03-24,
CA-00793,INS-JH-001-0204,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-12-21,2024-01-05,2024-01-08,Completed,Low,True,Sita Devi,2024-01-09,
CA-00794,INS-JH-002-2725,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-16,2023-12-02,,Rejected,Critical,False,,,
CA-00795,INS-OD-001-1922,INC-JH-001-115,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-05-05,2023-06-26,2023-07-05,Overdue,Low,True,Sita Devi,2023-07-06,Equipment unavailability
CA-00796,INS-JH-002-1201,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-01-31,2023-02-14,,Escalated,High,False,,,
CA-00797,INS-JH-001-1287,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-03-10,2023-04-02,2023-04-04,Open,Critical,False,,,
CA-00798,INS-JH-001-0837,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-02-05,2023-02-18,2023-02-18,Open,Medium,True,Rajesh Kumar,2023-02-19,
CA-00799,INS-OD-001-0038,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-12-29,2024-02-24,,Rejected,Critical,False,,,
CA-00800,INS-JH-002-4868,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-05-26,2023-07-08,2023-07-06,Overdue,Medium,True,Rajesh Kumar,2023-07-07,Waiting for approval
CA-00801,INS-JH-002-4455,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-06-09,2023-07-22,,Completed,Critical,False,,,
CA-00802,INS-JH-002-0684,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-06-21,2023-07-24,,Rejected,Critical,False,,,
CA-00803,INS-JH-001-1238,INC-JH-002-198,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-10-01,2023-11-17,,Rejected,Critical,False,,,
CA-00804,INS-OD-001-1613,INC-OD-001-082,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-05-09,2023-05-28,,In Progress,Critical,False,,,
CA-00805,INS-JH-002-4198,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-06-27,2023-07-13,,In Progress,Low,False,,,
CA-00806,INS-OD-001-4275,INC-JH-002-123,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-11-17,2023-12-05,,Overdue,Low,False,,,Equipment unavailability
CA-00807,INS-JH-002-4564,INC-OD-001-205,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-11,2023-11-21,,Overdue,Critical,False,,,Waiting for approval
CA-00808,INS-JH-001-4420,INC-OD-001-190,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-08-23,2023-09-14,2023-09-18,In Progress,Low,True,Sita Devi,2023-09-19,
CA-00809,INS-OD-001-3670,INC-JH-002-202,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-08-25,2023-09-22,2023-10-02,Open,Low,True,Sita Devi,2023-10-03,
CA-00810,INS-JH-001-1092,INC-OD-001-253,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-08,2023-08-07,2023-08-07,Open,Low,True,Rajesh Kumar,2023-08-08,
CA-00811,INS-JH-002-4497,INC-OD-001-027,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-04-23,2023-05-20,2023-05-22,Rejected,Medium,False,,,
CA-00812,INS-OD-001-3842,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-02-10,2023-02-27,2023-03-02,Escalated,High,True,Rajesh Kumar,2023-03-03,
CA-00813,INS-JH-002-1809,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-12-26,2024-02-02,2024-02-11,In Progress,Critical,True,Rajesh Kumar,2024-02-12,
CA-00814,INS-JH-002-1240,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-08-21,2023-08-28,2023-09-05,Overdue,High,True,Sita Devi,2023-09-06,Equipment unavailability
CA-00815,INS-JH-002-1190,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-03-10,2023-04-13,2023-04-19,Completed,Critical,True,Sita Devi,2023-04-20,
CA-00816,INS-JH-002-4210,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-19,2023-02-17,2023-02-22,Escalated,High,True,Rajesh Kumar,2023-02-23,
CA-00817,INS-JH-001-2065,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-18,2024-01-02,,Overdue,Medium,False,,,Parts not available
CA-00818,INS-JH-001-3895,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-04-20,2023-05-11,2023-05-11,Completed,Medium,False,,,
CA-00819,INS-JH-002-2054,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-12-19,2024-01-04,2023-12-30,Open,Critical,False,,,
CA-00820,INS-JH-002-1650,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-03-04,2023-04-14,2023-04-16,Rejected,Medium,True,Sita Devi,2023-04-17,
CA-00821,INS-JH-002-1565,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-12-22,2024-02-11,,Rejected,High,False,,,
CA-00822,INS-JH-001-4156,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-10-10,2023-11-19,2023-11-14,Completed,Low,True,Rajesh Kumar,2023-11-15,
CA-00823,INS-OD-001-3780,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-04-09,2023-05-06,,Completed,Low,False,,,
CA-00824,INS-JH-001-1549,INC-JH-002-140,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-06,2023-08-29,2023-08-31,Rejected,Medium,False,,,
CA-00825,INS-JH-001-1721,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-12-09,2024-01-27,,Escalated,Low,False,,,
CA-00826,INS-OD-001-1324,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-15,2023-09-26,,Rejected,Low,False,,,
CA-00827,INS-OD-001-2739,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-09-07,2023-10-01,2023-09-30,In Progress,Critical,False,,,
CA-00828,INS-JH-001-3401,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-20,2023-02-13,2023-02-23,Open,High,True,Rajesh Kumar,2023-02-24,
CA-00829,INS-JH-002-4431,INC-OD-001-056,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-05-30,2023-07-16,,Overdue,Medium,False,,,Waiting for approval
CA-00830,INS-JH-002-4003,INC-OD-001-123,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-08-18,2023-10-14,,In Progress,Low,False,,,
CA-00831,INS-JH-002-3522,INC-JH-002-056,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-09-10,2023-10-25,2023-10-20,Completed,Critical,True,Sita Devi,2023-10-21,
CA-00832,INS-JH-001-0817,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-03-30,2023-05-07,2023-05-09,Overdue,Medium,True,Rajesh Kumar,2023-05-10,Parts not available
CA-00833,INS-JH-002-3983,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-01-05,2023-01-27,,In Progress,Low,False,,,
CA-00834,INS-OD-001-4153,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-07-27,2023-08-30,2023-09-09,Open,High,False,,,
CA-00835,INS-OD-001-2637,INC-JH-002-082,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-07-30,2023-09-10,2023-09-13,Completed,Medium,True,Rajesh Kumar,2023-09-14,
CA-00836,INS-OD-001-0318,INC-JH-002-103,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-07-06,2023-07-27,,Completed,Medium,False,,,
CA-00837,INS-OD-001-1738,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-08-30,2023-10-22,2023-10-24,Completed,High,True,Rajesh Kumar,2023-10-25,
CA-00838,INS-JH-001-4832,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-03-28,2023-04-28,2023-05-02,Escalated,High,True,Rajesh Kumar,2023-05-03,
CA-00839,INS-OD-001-3076,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-10-09,2023-12-08,,Escalated,Medium,False,,,
CA-00840,INS-JH-002-1524,INC-JH-002-121,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-03-24,2023-05-16,,Overdue,Medium,False,,,Waiting for approval
CA-00841,INS-JH-002-0915,INC-JH-002-057,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-02-02,2023-02-21,2023-02-22,Completed,Low,True,Rajesh Kumar,2023-02-23,
CA-00842,INS-JH-001-2941,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-04-07,2023-05-04,2023-05-05,Completed,High,False,,,
CA-00843,INS-JH-001-1640,INC-OD-001-174,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-07-22,2023-08-03,2023-08-06,Completed,Low,False,,,
CA-00844,INS-JH-002-4787,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-02-12,2023-03-12,,Overdue,Low,False,,,Waiting for approval
CA-00845,INS-JH-002-2499,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-07-27,2023-08-26,2023-08-28,Open,Medium,True,Rajesh Kumar,2023-08-29,
CA-00846,INS-JH-001-3470,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-11-30,2023-12-17,,Open,High,False,,,
CA-00847,INS-JH-001-2368,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-05,2023-01-28,,Completed,High,False,,,
CA-00848,INS-JH-001-1648,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-06-22,2023-06-30,2023-07-02,In Progress,Low,True,Sita Devi,2023-07-03,
CA-00849,INS-OD-001-4507,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-03-16,2023-03-27,2023-03-29,In Progress,Critical,True,Sita Devi,2023-03-30,
CA-00850,INS-OD-001-3073,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-03-06,2023-04-19,,In Progress,Low,False,,,
CA-00851,INS-JH-002-2798,INC-JH-001-184,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-26,2024-01-16,2024-01-26,Rejected,Critical,False,,,
CA-00852,INS-OD-001-4873,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-04-09,2023-05-02,2023-05-02,Rejected,High,True,Sita Devi,2023-05-03,
CA-00853,INS-JH-002-1153,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-08-18,2023-09-16,,Overdue,Critical,False,,,Parts not available
CA-00854,INS-JH-002-0266,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-11-20,2024-01-17,2024-01-15,Completed,Critical,False,,,
CA-00855,INS-JH-002-2549,INC-OD-001-214,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-03-31,2023-04-08,,Rejected,Low,False,,,
CA-00856,INS-OD-001-1000,INC-JH-002-030,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-27,2023-08-24,2023-08-29,Completed,High,True,Sita Devi,2023-08-30,
CA-00857,INS-JH-001-1616,INC-JH-001-035,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-06-07,2023-06-19,2023-06-14,Rejected,High,True,Sita Devi,2023-06-15,
CA-00858,INS-JH-001-2335,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-09-13,2023-10-04,2023-10-08,In Progress,Medium,False,,,
CA-00859,INS-JH-002-3206,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-06,2023-12-28,2023-12-27,Escalated,High,False,,,
CA-00860,INS-JH-001-4154,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-06-07,2023-06-27,2023-07-03,Completed,Critical,True,Rajesh Kumar,2023-07-04,
CA-00861,INS-OD-001-1878,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-22,2024-01-14,,Rejected,Low,False,,,
CA-00862,INS-JH-002-2246,INC-JH-001-066,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-03-09,2023-04-29,2023-04-29,In Progress,Medium,False,,,
CA-00863,INS-JH-001-1925,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-01-05,2023-02-23,,Escalated,Medium,False,,,
CA-00864,INS-OD-001-4978,INC-JH-001-093,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-01-30,2023-03-18,2023-03-14,Overdue,Low,False,,,Waiting for approval
CA-00865,INS-JH-002-0895,INC-JH-002-299,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-18,2024-02-04,2024-02-05,In Progress,Medium,True,Rajesh Kumar,2024-02-06,
CA-00866,INS-OD-001-3968,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-06-01,2023-06-17,,Rejected,High,False,,,
CA-00867,INS-OD-001-3861,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-07,2023-12-15,2023-12-18,Escalated,Medium,True,Rajesh Kumar,2023-12-19,
CA-00868,INS-JH-002-2415,INC-JH-001-109,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-10-02,2023-11-05,2023-11-02,Rejected,Low,True,Rajesh Kumar,2023-11-03,
CA-00869,INS-JH-002-2453,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-08-19,2023-10-14,2023-10-15,Overdue,Low,True,Sita Devi,2023-10-16,Equipment unavailability
CA-00870,INS-JH-001-1420,INC-JH-001-198,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-07-13,2023-08-07,2023-08-04,Overdue,Medium,True,Rajesh Kumar,2023-08-05,Equipment unavailability
CA-00871,INS-OD-001-4871,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-25,2023-06-15,2023-06-23,Escalated,High,True,Rajesh Kumar,2023-06-24,
CA-00872,INS-JH-002-2682,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-09-23,2023-11-07,2023-11-09,Open,Low,False,,,
CA-00873,INS-JH-001-4442,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-06,2023-02-05,2023-02-08,Completed,Critical,True,Rajesh Kumar,2023-02-09,
CA-00874,INS-OD-001-0704,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-09-05,2023-11-03,,Completed,Low,False,,,
CA-00875,INS-JH-002-1496,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-05-01,2023-06-07,,In Progress,Medium,False,,,
CA-00876,INS-JH-002-3643,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-08-25,2023-09-11,2023-09-19,Rejected,Medium,False,,,
CA-00877,INS-OD-001-2995,INC-JH-002-089,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-08-11,2023-08-27,2023-09-02,Overdue,Medium,True,Sita Devi,2023-09-03,Parts not available
CA-00878,INS-JH-001-1096,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-01-30,2023-03-15,2023-03-16,Completed,Medium,True,Rajesh Kumar,2023-03-17,
CA-00879,INS-JH-002-1816,INC-JH-002-131,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-04-18,2023-04-25,,Open,High,False,,,
CA-00880,INS-JH-002-4341,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-11-01,2023-11-22,2023-12-02,In Progress,Critical,True,Sita Devi,2023-12-03,
CA-00881,INS-OD-001-3556,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-04-10,2023-05-06,2023-05-15,Open,Low,True,Sita Devi,2023-05-16,
CA-00882,INS-OD-001-0182,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-20,2023-02-07,2023-02-17,In Progress,Medium,False,,,
CA-00883,INS-JH-002-3377,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-03-19,2023-03-26,2023-04-02,Completed,Critical,True,Sita Devi,2023-04-03,
CA-00884,INS-JH-002-2860,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-04-27,2023-06-22,,Completed,Critical,False,,,
CA-00885,INS-JH-002-3115,INC-JH-001-204,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-11,2024-01-02,2024-01-10,Open,Medium,True,Rajesh Kumar,2024-01-11,
CA-00886,INS-JH-002-2896,INC-JH-002-255,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-11-25,2024-01-21,,Completed,High,False,,,
CA-00887,INS-JH-001-3244,INC-OD-001-086,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-06,2023-12-25,2023-12-22,Completed,High,True,Rajesh Kumar,2023-12-23,
CA-00888,INS-OD-001-1154,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-08,2023-05-10,,Escalated,Low,False,,,
CA-00889,INS-JH-002-3551,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-10-12,2023-11-03,2023-10-30,In Progress,Critical,True,Rajesh Kumar,2023-10-31,
CA-00890,INS-OD-001-3157,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-02-15,2023-03-08,2023-03-04,In Progress,Critical,True,Sita Devi,2023-03-05,
CA-00891,INS-JH-001-2456,INC-JH-001-009,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-10-25,2023-11-02,2023-11-12,In Progress,Critical,True,Rajesh Kumar,2023-11-13,
CA-00892,INS-OD-001-1930,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-08-01,2023-08-15,,Completed,High,False,,,
CA-00893,INS-OD-001-3914,INC-OD-001-156,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-09-23,2023-10-07,,Open,High,False,,,
CA-00894,INS-JH-001-1376,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-07-31,2023-09-06,2023-09-04,Rejected,Critical,True,Sita Devi,2023-09-05,
CA-00895,INS-JH-002-2895,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-04-27,2023-05-17,,Overdue,High,False,,,Equipment unavailability
CA-00896,INS-JH-001-0707,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-04-08,2023-05-26,2023-05-28,Rejected,Critical,False,,,
